Frame,X,Y,Probability
14284,153.0,144.0,0.87
14285,152.0,149.0,0.87
14286,152.0,153.0,0.86
14287,152.0,155.0,0.87
14288,153.0,157.0,0.87
14289,152.0,157.0,0.86
14290,149.0,156.0,0.86
14291,148.0,155.0,0.87
14292,147.0,152.0,0.88
14293,146.0,149.0,0.88
14294,145.0,145.0,0.88
14295,142.0,139.0,0.87
14296,141.0,134.0,0.89
14297,141.0,127.0,0.89
14298,142.0,120.0,0.89
14299,143.0,112.0,0.88
14300,146.0,106.0,0.89
14301,149.0,101.0,0.89
14302,154.0,98.0,0.88
14303,159.0,95.0,0.87
14304,165.0,90.0,0.84
14305,171.0,83.0,0.74
14338,166.0,92.0,0.84
14339,162.0,100.0,0.87
14340,159.0,109.0,0.88
14341,155.0,117.0,0.88
14342,153.0,125.0,0.88
14343,152.0,133.0,0.88
14344,152.0,141.0,0.88
14345,153.0,149.0,0.89
14346,155.0,156.0,0.89
14347,156.0,161.0,0.88
14348,157.0,165.0,0.88
14349,158.0,167.0,0.87
14350,157.0,168.0,0.88
14351,156.0,168.0,0.88
14352,155.0,168.0,0.88
14353,155.0,169.0,0.88
14354,154.0,169.0,0.88
14355,153.0,169.0,0.88
14356,153.0,169.0,0.88
14357,152.0,169.0,0.87
14358,151.0,169.0,0.87
14359,151.0,169.0,0.87
14360,151.0,169.0,0.87
14361,151.0,169.0,0.87
14362,150.0,169.0,0.87
14363,150.0,169.0,0.87
14364,149.0,169.0,0.87
14365,149.0,168.0,0.88
14366,148.0,167.0,0.86
14367,147.0,166.0,0.88
14368,145.0,165.0,0.88
14369,143.0,162.0,0.88
14370,141.0,159.0,0.88
14371,139.0,155.0,0.88
14372,137.0,150.0,0.88
14373,135.0,142.0,0.87
14374,134.0,133.0,0.88
14375,135.0,124.0,0.87
14376,139.0,118.0,0.88
14377,143.0,112.0,0.89
14378,147.0,106.0,0.89
14379,151.0,100.0,0.89
14380,157.0,97.0,0.89
14381,163.0,94.0,0.87
14382,169.0,89.0,0.83
14406,169.0,99.0,0.84
14407,165.0,110.0,0.88
14408,161.0,122.0,0.89
14409,159.0,134.0,0.88
14410,159.0,146.0,0.88
14411,160.0,157.0,0.87
14412,163.0,166.0,0.88
14413,163.0,172.0,0.88
14414,163.0,175.0,0.87
14415,164.0,178.0,0.88
14416,163.0,180.0,0.89
14417,163.0,181.0,0.89
14418,162.0,181.0,0.89
14419,161.0,181.0,0.89
14420,161.0,181.0,0.88
14421,161.0,181.0,0.88
14422,161.0,181.0,0.88
14423,161.0,181.0,0.88
14424,160.0,181.0,0.88
14425,159.0,180.0,0.88
14426,158.0,179.0,0.88
14427,156.0,177.0,0.87
14428,155.0,176.0,0.88
14429,153.0,174.0,0.87
14430,150.0,172.0,0.87
14431,149.0,170.0,0.88
14432,147.0,168.0,0.88
14433,145.0,164.0,0.88
14434,142.0,159.0,0.88
14435,140.0,154.0,0.88
14436,139.0,147.0,0.88
14437,139.0,139.0,0.88
14438,141.0,132.0,0.89
14439,143.0,125.0,0.88
14440,147.0,121.0,0.88
14441,149.0,116.0,0.89
14442,152.0,111.0,0.87
14443,158.0,108.0,0.88
14444,162.0,104.0,0.87
14445,166.0,98.0,0.88
14446,171.0,93.0,0.81
14465,185.0,96.0,0.77
14466,182.0,105.0,0.86
14467,180.0,115.0,0.85
14468,179.0,126.0,0.85
14469,178.0,135.0,0.85
14470,179.0,145.0,0.86
14471,181.0,154.0,0.85
14472,183.0,163.0,0.86
14473,185.0,170.0,0.87
14474,186.0,178.0,0.88
14475,189.0,183.0,0.87
14476,190.0,187.0,0.86
14477,191.0,191.0,0.86
14478,191.0,193.0,0.86
14479,191.0,195.0,0.86
14480,191.0,195.0,0.86
14481,189.0,196.0,0.86
14482,189.0,197.0,0.88
14483,187.0,196.0,0.88
14484,185.0,195.0,0.88
14485,184.0,195.0,0.87
14486,184.0,195.0,0.87
14487,183.0,195.0,0.87
14488,181.0,195.0,0.87
14489,179.0,194.0,0.88
14490,176.0,193.0,0.86
14491,173.0,192.0,0.88
14492,169.0,190.0,0.88
14493,165.0,186.0,0.88
14494,162.0,184.0,0.89
14495,159.0,181.0,0.89
14496,157.0,178.0,0.89
14497,155.0,175.0,0.88
14498,154.0,171.0,0.88
14499,151.0,164.0,0.88
14500,150.0,156.0,0.88
14501,151.0,148.0,0.89
14502,152.0,139.0,0.88
14503,155.0,131.0,0.89
14504,157.0,122.0,0.88
14505,161.0,115.0,0.88
14506,163.0,111.0,0.87
14507,166.0,105.0,0.87
14508,169.0,100.0,0.88
14509,175.0,97.0,0.88
14534,185.0,96.0,0.73
14535,182.0,102.0,0.88
14536,179.0,112.0,0.88
14537,177.0,122.0,0.88
14538,177.0,131.0,0.87
14539,176.0,141.0,0.86
14540,177.0,150.0,0.86
14541,179.0,159.0,0.88
14542,183.0,167.0,0.86
14543,187.0,173.0,0.85
14544,189.0,177.0,0.86
14545,189.0,180.0,0.87
14546,189.0,182.0,0.85
14547,189.0,184.0,0.86
14548,188.0,185.0,0.87
14549,186.0,185.0,0.88
14550,183.0,186.0,0.88
14551,181.0,186.0,0.88
14552,179.0,186.0,0.88
14553,177.0,185.0,0.88
14554,174.0,184.0,0.88
14555,170.0,182.0,0.88
14556,165.0,178.0,0.88
14557,159.0,174.0,0.88
14558,155.0,169.0,0.87
14559,151.0,164.0,0.88
14560,146.0,157.0,0.89
14561,144.0,150.0,0.88
14562,143.0,144.0,0.87
14563,141.0,136.0,0.89
14564,141.0,128.0,0.88
14565,142.0,121.0,0.87
14566,145.0,115.0,0.88
14567,147.0,108.0,0.89
14568,151.0,103.0,0.89
14569,157.0,98.0,0.89
14570,164.0,94.0,0.86
14571,170.0,88.0,0.82
14607,167.0,90.0,0.8
14608,163.0,95.0,0.84
14609,159.0,102.0,0.89
14610,157.0,109.0,0.88
14611,153.0,114.0,0.87
14612,150.0,122.0,0.88
14613,149.0,130.0,0.9
14614,148.0,137.0,0.89
14615,148.0,145.0,0.89
14616,150.0,152.0,0.89
14617,151.0,158.0,0.88
14618,152.0,161.0,0.87
14619,151.0,164.0,0.88
14620,151.0,165.0,0.88
14621,150.0,166.0,0.88
14622,149.0,167.0,0.88
14623,149.0,167.0,0.88
14624,149.0,168.0,0.89
14625,149.0,169.0,0.88
14626,149.0,169.0,0.88
14627,149.0,169.0,0.88
14628,149.0,169.0,0.88
14629,149.0,169.0,0.87
14630,148.0,169.0,0.87
14631,147.0,168.0,0.87
14632,146.0,168.0,0.88
14633,146.0,168.0,0.87
14634,145.0,167.0,0.88
14635,144.0,166.0,0.87
14636,143.0,165.0,0.88
14637,141.0,162.0,0.89
14638,139.0,159.0,0.88
14639,137.0,155.0,0.88
14640,135.0,149.0,0.86
14641,133.0,142.0,0.86
14642,132.0,133.0,0.85
14643,132.0,125.0,0.85
14644,135.0,117.0,0.86
14645,139.0,111.0,0.86
14646,144.0,105.0,0.87
14647,149.0,100.0,0.89
14648,154.0,97.0,0.87
14649,158.0,93.0,0.86
14650,165.0,89.0,0.85
14651,170.0,84.0,0.7
14682,166.0,91.0,0.76
14683,160.0,101.0,0.85
14684,157.0,110.0,0.88
14685,151.0,118.0,0.86
14686,149.0,128.0,0.87
14687,147.0,138.0,0.87
14688,147.0,147.0,0.88
14689,148.0,153.0,0.89
14690,148.0,157.0,0.88
14691,148.0,159.0,0.87
14692,148.0,161.0,0.88
14693,147.0,162.0,0.87
14694,147.0,163.0,0.88
14695,147.0,164.0,0.88
14696,147.0,164.0,0.88
14697,147.0,164.0,0.88
14698,146.0,164.0,0.88
14699,145.0,163.0,0.87
14700,145.0,162.0,0.87
14701,144.0,161.0,0.86
14702,143.0,159.0,0.87
14703,141.0,157.0,0.87
14704,139.0,153.0,0.86
14705,137.0,148.0,0.87
14706,136.0,144.0,0.86
14707,135.0,137.0,0.86
14708,134.0,129.0,0.86
14709,135.0,120.0,0.85
14710,138.0,115.0,0.87
14711,141.0,107.0,0.89
14712,147.0,101.0,0.89
14713,153.0,95.0,0.87
14714,162.0,91.0,0.85
14739,167.0,92.0,0.79
14740,159.0,99.0,0.84
14741,154.0,108.0,0.89
14742,149.0,119.0,0.89
14743,147.0,131.0,0.88
14744,146.0,140.0,0.88
14745,146.0,148.0,0.89
14746,148.0,155.0,0.88
14747,149.0,159.0,0.87
14748,148.0,162.0,0.87
14749,148.0,164.0,0.87
14750,147.0,165.0,0.87
14751,147.0,166.0,0.88
14752,146.0,166.0,0.88
14753,145.0,166.0,0.88
14754,145.0,165.0,0.88
