Time,Data
65500,0.0001277647
65501,0.0001382028
65502,0.0002810627
65503,0.0002476952
65504,0.0001014952
65505,0.0001353699
65506,0.0001345348
65507,0.000152471
65508,0.0002134861
65509,0.0003060983
65510,0.0004774421
65511,0.0006260902
65512,0.0009663074
65517,0.0011003603
65518,0.0003319152
65519,-0.0009992983
65520,-0.0012695502
65521,-0.000552325
65522,-0.0002084919
65523,-0.0001422148
65524,-4.76469e-05
65525,-0.0001034512
65526,-7.15646e-05
65527,-0.0001697402
65528,-0.0002249872
65529,-0.0002486519
65530,-0.0001110113
65531,0.0001706068
65532,0.0001395511
65533,0.0001883353
65534,0.0002511574
65535,0.0002535155
65536,0.000700078
65538,0.0009932016
65539,0.0002536131
65540,-3.77498e-05
65541,-0.0002155356
65542,7.05239e-05
65543,-0.0005458658
65544,-0.000476949
65545,0.0001129476
65546,0.0005222699
65547,0.0008493815
65548,0.0005752008
65549,0.000252578
65550,0.0001490225
65551,-8.0875e-06
65552,-3.14466e-05
65553,0.000254923
65554,0.0005137422
65555,0.0008307835
65559,0.0003609738
65560,-0.0004210108
65561,-0.0005824979
65562,-0.0005133914
65563,-0.0002296369
65564,-9.62215e-05
65565,5.67096e-05
65566,0.0002830289
65567,2.0299e-06
65568,-0.0002123084
65569,-3.49597e-05
65570,3.17946e-05
65571,9.49064e-05
65572,0.0001676553
65573,0.000126135
65574,0.0001699678
65575,0.0001784886
65576,0.0002087993
65577,0.0001860719
65578,0.0001967378
65579,0.0002106794
65580,0.0005211583
65581,0.0009431376
65584,0.0009275755
65585,0.0002275139
65586,-0.0001341373
65587,-0.0003612404
65588,-0.0003237961
65589,-0.000142071
65590,-0.0002581225
65591,-0.0002676159
65592,-4.28411e-05
65593,5.99767e-05
65594,-0.0001275326
65595,-9.37309e-05
65596,-4.07392e-05
65597,7.58602e-05
65598,5.09103e-05
65599,9.77982e-05
65600,7.62088e-05
65601,9.64141e-05
65602,0.0001794037
65603,0.0002097848
65604,0.0005111143
65605,0.0009552732
65606,0.0010600118
65607,0.0009168345
65608,0.0006625582
65609,-1.17847e-05
65610,-0.0004173421
65611,-0.0004790444
65612,-0.0007047733
65613,-0.0005067898
65614,-6.5675e-06
65615,-7.80557e-05
65616,-7.14265e-05
65617,-0.0001073443
65618,-9.05681e-05
65619,7.16808e-05
65620,9.60544e-05
65621,0.0002076558
65622,0.0003452626
65623,0.0004107103
65624,0.0006091639
65625,0.0006711307
65626,0.0005972175
65627,0.0002886665
65628,0.0004288819
65629,0.000368888
65630,-9.72969e-05
65631,-0.0003271849
65632,0.0001955003
65633,0.0003176297
65634,8.85756e-05
65635,-0.0003840343
65636,-1.24853e-05
65637,-6.13511e-05
65638,-8.03311e-05
65639,-0.0001595915
65640,-7.60496e-05
65641,-1.08876e-05
65642,3.74457e-05
65643,1.71823e-05
65644,9.59434e-05
65645,4.08434e-05
65646,5.73274e-05
65647,0.0001993802
65648,6.33776e-05
65649,0.00011518
65650,0.000196782
65651,0.0002741326
65652,9.16098e-05
65653,0.000256425
65654,0.00036075
65655,0.0003568618
65656,0.0004631202
65657,0.000665806
65658,0.0010117872
65659,0.0010001346
65660,0.0009729023
65661,0.0007516337
65662,0.0003602726
65663,-0.0002420186
65664,-0.000376644
