Frame,Whisker_Count,Filter_Type
4851,2,Less_Than_5
4852,2,Less_Than_5
4853,2,Less_Than_5
4854,3,Less_Than_5
4855,2,Less_Than_5
4856,2,Less_Than_5
4857,2,Less_Than_5
4858,2,Less_Than_5
4859,2,Less_Than_5
4860,2,Less_Than_5
4861,2,Less_Than_5
4862,2,Less_Than_5
4863,2,Less_Than_5
4864,2,Less_Than_5
4865,2,Less_Than_5
4866,2,Less_Than_5
4867,2,Less_Than_5
4868,2,Less_Than_5
4869,2,Less_Than_5
4870,3,Less_Than_5
4871,4,Less_Than_5
4875,4,Less_Than_5
4876,4,Less_Than_5
4877,4,Less_Than_5
4878,4,Less_Than_5
4879,3,Less_Than_5
4880,3,Less_Than_5
4881,3,Less_Than_5
4882,3,Less_Than_5
4883,3,Less_Than_5
4884,3,Less_Than_5
4885,3,Less_Than_5
4886,2,Less_Than_5
4887,3,Less_Than_5
4888,3,Less_Than_5
4889,3,Less_Than_5
4890,3,Less_Than_5
4891,4,Less_Than_5
4892,6,More_Than_5
4893,6,More_Than_5
4894,6,More_Than_5
4895,6,More_Than_5
4897,6,More_Than_5
4899,6,More_Than_5
4900,6,More_Than_5
4912,6,More_Than_5
4915,6,More_Than_5
4916,6,More_Than_5
4917,6,More_Than_5
4919,4,Less_Than_5
4920,3,Less_Than_5
4921,3,Less_Than_5
4922,3,Less_Than_5
4923,3,Less_Than_5
4924,2,Less_Than_5
4925,2,Less_Than_5
4926,2,Less_Than_5
4927,2,Less_Than_5
4928,3,Less_Than_5
4929,2,Less_Than_5
4930,2,Less_Than_5
4931,2,Less_Than_5
4932,2,Less_Than_5
4933,2,Less_Than_5
4934,3,Less_Than_5
4935,3,Less_Than_5
4936,3,Less_Than_5
4937,2,Less_Than_5
4938,2,Less_Than_5
4939,2,Less_Than_5
4940,3,Less_Than_5
4941,2,Less_Than_5
4942,2,Less_Than_5
4943,2,Less_Than_5
4944,3,Less_Than_5
4945,4,Less_Than_5
4946,4,Less_Than_5
4947,4,Less_Than_5
4948,2,Less_Than_5
4949,3,Less_Than_5
4950,3,Less_Than_5
4951,2,Less_Than_5
